color_local_1,color_global_1,depth_local_1,depth_global_1,normal_local_1,normal_global_1,mask_local_1,mask_global_1,color_local_2,color_global_2,depth_local_2,depth_global_2,normal_local_2,normal_global_2,mask_local_2,mask_global_2,color_local_3,color_global_3,depth_local_3,depth_global_3,normal_local_3,normal_global_3,mask_local_3,mask_global_3
color_local_0_1.png,color_global_0_1.png,depth_local_0_1.png,depth_global_0_1.png,normal_local_0_1.png,normal_global_0_1.png,mask_local_0_1.png,mask_global_0_1.png,color_local_0_2.png,color_global_0_2.png,depth_local_0_2.png,depth_global_0_2.png,normal_local_0_2.png,normal_global_0_2.png,mask_local_0_2.png,mask_global_0_2.png,color_local_0_3.png,color_global_0_3.png,depth_local_0_3.png,depth_global_0_3.png,normal_local_0_3.png,normal_global_0_3.png,mask_local_0_3.png,mask_global_0_3.png
color_local_1_1.png,color_global_1_1.png,depth_local_1_1.png,depth_global_1_1.png,normal_local_1_1.png,normal_global_1_1.png,mask_local_1_1.png,mask_global_1_1.png,color_local_1_2.png,color_global_1_2.png,depth_local_1_2.png,depth_global_1_2.png,normal_local_1_2.png,normal_global_1_2.png,mask_local_1_2.png,mask_global_1_2.png,color_local_1_3.png,color_global_1_3.png,depth_local_1_3.png,depth_global_1_3.png,normal_local_1_3.png,normal_global_1_3.png,mask_local_1_3.png,mask_global_1_3.png
color_local_2_1.png,color_global_2_1.png,depth_local_2_1.png,depth_global_2_1.png,normal_local_2_1.png,normal_global_2_1.png,mask_local_2_1.png,mask_global_2_1.png,color_local_2_2.png,color_global_2_2.png,depth_local_2_2.png,depth_global_2_2.png,normal_local_2_2.png,normal_global_2_2.png,mask_local_2_2.png,mask_global_2_2.png,color_local_2_3.png,color_global_2_3.png,depth_local_2_3.png,depth_global_2_3.png,normal_local_2_3.png,normal_global_2_3.png,mask_local_2_3.png,mask_global_2_3.png
color_local_3_1.png,color_global_3_1.png,depth_local_3_1.png,depth_global_3_1.png,normal_local_3_1.png,normal_global_3_1.png,mask_local_3_1.png,mask_global_3_1.png,color_local_3_2.png,color_global_3_2.png,depth_local_3_2.png,depth_global_3_2.png,normal_local_3_2.png,normal_global_3_2.png,mask_local_3_2.png,mask_global_3_2.png,color_local_3_3.png,color_global_3_3.png,depth_local_3_3.png,depth_global_3_3.png,normal_local_3_3.png,normal_global_3_3.png,mask_local_3_3.png,mask_global_3_3.png
color_local_4_1.png,color_global_4_1.png,depth_local_4_1.png,depth_global_4_1.png,normal_local_4_1.png,normal_global_4_1.png,mask_local_4_1.png,mask_global_4_1.png,color_local_4_2.png,color_global_4_2.png,depth_local_4_2.png,depth_global_4_2.png,normal_local_4_2.png,normal_global_4_2.png,mask_local_4_2.png,mask_global_4_2.png,color_local_4_3.png,color_global_4_3.png,depth_local_4_3.png,depth_global_4_3.png,normal_local_4_3.png,normal_global_4_3.png,mask_local_4_3.png,mask_global_4_3.png
color_local_5_1.png,color_global_5_1.png,depth_local_5_1.png,depth_global_5_1.png,normal_local_5_1.png,normal_global_5_1.png,mask_local_5_1.png,mask_global_5_1.png,color_local_5_2.png,color_global_5_2.png,depth_local_5_2.png,depth_global_5_2.png,normal_local_5_2.png,normal_global_5_2.png,mask_local_5_2.png,mask_global_5_2.png,color_local_5_3.png,color_global_5_3.png,depth_local_5_3.png,depth_global_5_3.png,normal_local_5_3.png,normal_global_5_3.png,mask_local_5_3.png,mask_global_5_3.png
color_local_6_1.png,color_global_6_1.png,depth_local_6_1.png,depth_global_6_1.png,normal_local_6_1.png,normal_global_6_1.png,mask_local_6_1.png,mask_global_6_1.png,color_local_6_2.png,color_global_6_2.png,depth_local_6_2.png,depth_global_6_2.png,normal_local_6_2.png,normal_global_6_2.png,mask_local_6_2.png,mask_global_6_2.png,color_local_6_3.png,color_global_6_3.png,depth_local_6_3.png,depth_global_6_3.png,normal_local_6_3.png,normal_global_6_3.png,mask_local_6_3.png,mask_global_6_3.png
color_local_7_1.png,color_global_7_1.png,depth_local_7_1.png,depth_global_7_1.png,normal_local_7_1.png,normal_global_7_1.png,mask_local_7_1.png,mask_global_7_1.png,color_local_7_2.png,color_global_7_2.png,depth_local_7_2.png,depth_global_7_2.png,normal_local_7_2.png,normal_global_7_2.png,mask_local_7_2.png,mask_global_7_2.png,color_local_7_3.png,color_global_7_3.png,depth_local_7_3.png,depth_global_7_3.png,normal_local_7_3.png,normal_global_7_3.png,mask_local_7_3.png,mask_global_7_3.png
color_local_8_1.png,color_global_8_1.png,depth_local_8_1.png,depth_global_8_1.png,normal_local_8_1.png,normal_global_8_1.png,mask_local_8_1.png,mask_global_8_1.png,color_local_8_2.png,color_global_8_2.png,depth_local_8_2.png,depth_global_8_2.png,normal_local_8_2.png,normal_global_8_2.png,mask_local_8_2.png,mask_global_8_2.png,color_local_8_3.png,color_global_8_3.png,depth_local_8_3.png,depth_global_8_3.png,normal_local_8_3.png,normal_global_8_3.png,mask_local_8_3.png,mask_global_8_3.png
color_local_9_1.png,color_global_9_1.png,depth_local_9_1.png,depth_global_9_1.png,normal_local_9_1.png,normal_global_9_1.png,mask_local_9_1.png,mask_global_9_1.png,color_local_9_2.png,color_global_9_2.png,depth_local_9_2.png,depth_global_9_2.png,normal_local_9_2.png,normal_global_9_2.png,mask_local_9_2.png,mask_global_9_2.png,color_local_9_3.png,color_global_9_3.png,depth_local_9_3.png,depth_global_9_3.png,normal_local_9_3.png,normal_global_9_3.png,mask_local_9_3.png,mask_global_9_3.png
color_local_10_1.png,color_global_10_1.png,depth_local_10_1.png,depth_global_10_1.png,normal_local_10_1.png,normal_global_10_1.png,mask_local_10_1.png,mask_global_10_1.png,color_local_10_2.png,color_global_10_2.png,depth_local_10_2.png,depth_global_10_2.png,normal_local_10_2.png,normal_global_10_2.png,mask_local_10_2.png,mask_global_10_2.png,color_local_10_3.png,color_global_10_3.png,depth_local_10_3.png,depth_global_10_3.png,normal_local_10_3.png,normal_global_10_3.png,mask_local_10_3.png,mask_global_10_3.png
color_local_11_1.png,color_global_11_1.png,depth_local_11_1.png,depth_global_11_1.png,normal_local_11_1.png,normal_global_11_1.png,mask_local_11_1.png,mask_global_11_1.png,color_local_11_2.png,color_global_11_2.png,depth_local_11_2.png,depth_global_11_2.png,normal_local_11_2.png,normal_global_11_2.png,mask_local_11_2.png,mask_global_11_2.png,color_local_11_3.png,color_global_11_3.png,depth_local_11_3.png,depth_global_11_3.png,normal_local_11_3.png,normal_global_11_3.png,mask_local_11_3.png,mask_global_11_3.png
color_local_12_1.png,color_global_12_1.png,depth_local_12_1.png,depth_global_12_1.png,normal_local_12_1.png,normal_global_12_1.png,mask_local_12_1.png,mask_global_12_1.png,color_local_12_2.png,color_global_12_2.png,depth_local_12_2.png,depth_global_12_2.png,normal_local_12_2.png,normal_global_12_2.png,mask_local_12_2.png,mask_global_12_2.png,color_local_12_3.png,color_global_12_3.png,depth_local_12_3.png,depth_global_12_3.png,normal_local_12_3.png,normal_global_12_3.png,mask_local_12_3.png,mask_global_12_3.png
color_local_13_1.png,color_global_13_1.png,depth_local_13_1.png,depth_global_13_1.png,normal_local_13_1.png,normal_global_13_1.png,mask_local_13_1.png,mask_global_13_1.png,color_local_13_2.png,color_global_13_2.png,depth_local_13_2.png,depth_global_13_2.png,normal_local_13_2.png,normal_global_13_2.png,mask_local_13_2.png,mask_global_13_2.png,color_local_13_3.png,color_global_13_3.png,depth_local_13_3.png,depth_global_13_3.png,normal_local_13_3.png,normal_global_13_3.png,mask_local_13_3.png,mask_global_13_3.png
color_local_14_1.png,color_global_14_1.png,depth_local_14_1.png,depth_global_14_1.png,normal_local_14_1.png,normal_global_14_1.png,mask_local_14_1.png,mask_global_14_1.png,color_local_14_2.png,color_global_14_2.png,depth_local_14_2.png,depth_global_14_2.png,normal_local_14_2.png,normal_global_14_2.png,mask_local_14_2.png,mask_global_14_2.png,color_local_14_3.png,color_global_14_3.png,depth_local_14_3.png,depth_global_14_3.png,normal_local_14_3.png,normal_global_14_3.png,mask_local_14_3.png,mask_global_14_3.png
color_local_15_1.png,color_global_15_1.png,depth_local_15_1.png,depth_global_15_1.png,normal_local_15_1.png,normal_global_15_1.png,mask_local_15_1.png,mask_global_15_1.png,color_local_15_2.png,color_global_15_2.png,depth_local_15_2.png,depth_global_15_2.png,normal_local_15_2.png,normal_global_15_2.png,mask_local_15_2.png,mask_global_15_2.png,color_local_15_3.png,color_global_15_3.png,depth_local_15_3.png,depth_global_15_3.png,normal_local_15_3.png,normal_global_15_3.png,mask_local_15_3.png,mask_global_15_3.png
color_local_16_1.png,color_global_16_1.png,depth_local_16_1.png,depth_global_16_1.png,normal_local_16_1.png,normal_global_16_1.png,mask_local_16_1.png,mask_global_16_1.png,color_local_16_2.png,color_global_16_2.png,depth_local_16_2.png,depth_global_16_2.png,normal_local_16_2.png,normal_global_16_2.png,mask_local_16_2.png,mask_global_16_2.png,color_local_16_3.png,color_global_16_3.png,depth_local_16_3.png,depth_global_16_3.png,normal_local_16_3.png,normal_global_16_3.png,mask_local_16_3.png,mask_global_16_3.png
color_local_17_1.png,color_global_17_1.png,depth_local_17_1.png,depth_global_17_1.png,normal_local_17_1.png,normal_global_17_1.png,mask_local_17_1.png,mask_global_17_1.png,color_local_17_2.png,color_global_17_2.png,depth_local_17_2.png,depth_global_17_2.png,normal_local_17_2.png,normal_global_17_2.png,mask_local_17_2.png,mask_global_17_2.png,color_local_17_3.png,color_global_17_3.png,depth_local_17_3.png,depth_global_17_3.png,normal_local_17_3.png,normal_global_17_3.png,mask_local_17_3.png,mask_global_17_3.png
color_local_18_1.png,color_global_18_1.png,depth_local_18_1.png,depth_global_18_1.png,normal_local_18_1.png,normal_global_18_1.png,mask_local_18_1.png,mask_global_18_1.png,color_local_18_2.png,color_global_18_2.png,depth_local_18_2.png,depth_global_18_2.png,normal_local_18_2.png,normal_global_18_2.png,mask_local_18_2.png,mask_global_18_2.png,color_local_18_3.png,color_global_18_3.png,depth_local_18_3.png,depth_global_18_3.png,normal_local_18_3.png,normal_global_18_3.png,mask_local_18_3.png,mask_global_18_3.png
color_local_19_1.png,color_global_19_1.png,depth_local_19_1.png,depth_global_19_1.png,normal_local_19_1.png,normal_global_19_1.png,mask_local_19_1.png,mask_global_19_1.png,color_local_19_2.png,color_global_19_2.png,depth_local_19_2.png,depth_global_19_2.png,normal_local_19_2.png,normal_global_19_2.png,mask_local_19_2.png,mask_global_19_2.png,color_local_19_3.png,color_global_19_3.png,depth_local_19_3.png,depth_global_19_3.png,normal_local_19_3.png,normal_global_19_3.png,mask_local_19_3.png,mask_global_19_3.png
color_local_20_1.png,color_global_20_1.png,depth_local_20_1.png,depth_global_20_1.png,normal_local_20_1.png,normal_global_20_1.png,mask_local_20_1.png,mask_global_20_1.png,color_local_20_2.png,color_global_20_2.png,depth_local_20_2.png,depth_global_20_2.png,normal_local_20_2.png,normal_global_20_2.png,mask_local_20_2.png,mask_global_20_2.png,color_local_20_3.png,color_global_20_3.png,depth_local_20_3.png,depth_global_20_3.png,normal_local_20_3.png,normal_global_20_3.png,mask_local_20_3.png,mask_global_20_3.png
color_local_21_1.png,color_global_21_1.png,depth_local_21_1.png,depth_global_21_1.png,normal_local_21_1.png,normal_global_21_1.png,mask_local_21_1.png,mask_global_21_1.png,color_local_21_2.png,color_global_21_2.png,depth_local_21_2.png,depth_global_21_2.png,normal_local_21_2.png,normal_global_21_2.png,mask_local_21_2.png,mask_global_21_2.png,color_local_21_3.png,color_global_21_3.png,depth_local_21_3.png,depth_global_21_3.png,normal_local_21_3.png,normal_global_21_3.png,mask_local_21_3.png,mask_global_21_3.png
color_local_22_1.png,color_global_22_1.png,depth_local_22_1.png,depth_global_22_1.png,normal_local_22_1.png,normal_global_22_1.png,mask_local_22_1.png,mask_global_22_1.png,color_local_22_2.png,color_global_22_2.png,depth_local_22_2.png,depth_global_22_2.png,normal_local_22_2.png,normal_global_22_2.png,mask_local_22_2.png,mask_global_22_2.png,color_local_22_3.png,color_global_22_3.png,depth_local_22_3.png,depth_global_22_3.png,normal_local_22_3.png,normal_global_22_3.png,mask_local_22_3.png,mask_global_22_3.png
color_local_23_1.png,color_global_23_1.png,depth_local_23_1.png,depth_global_23_1.png,normal_local_23_1.png,normal_global_23_1.png,mask_local_23_1.png,mask_global_23_1.png,color_local_23_2.png,color_global_23_2.png,depth_local_23_2.png,depth_global_23_2.png,normal_local_23_2.png,normal_global_23_2.png,mask_local_23_2.png,mask_global_23_2.png,color_local_23_3.png,color_global_23_3.png,depth_local_23_3.png,depth_global_23_3.png,normal_local_23_3.png,normal_global_23_3.png,mask_local_23_3.png,mask_global_23_3.png
color_local_24_1.png,color_global_24_1.png,depth_local_24_1.png,depth_global_24_1.png,normal_local_24_1.png,normal_global_24_1.png,mask_local_24_1.png,mask_global_24_1.png,color_local_24_2.png,color_global_24_2.png,depth_local_24_2.png,depth_global_24_2.png,normal_local_24_2.png,normal_global_24_2.png,mask_local_24_2.png,mask_global_24_2.png,color_local_24_3.png,color_global_24_3.png,depth_local_24_3.png,depth_global_24_3.png,normal_local_24_3.png,normal_global_24_3.png,mask_local_24_3.png,mask_global_24_3.png
color_local_25_1.png,color_global_25_1.png,depth_local_25_1.png,depth_global_25_1.png,normal_local_25_1.png,normal_global_25_1.png,mask_local_25_1.png,mask_global_25_1.png,color_local_25_2.png,color_global_25_2.png,depth_local_25_2.png,depth_global_25_2.png,normal_local_25_2.png,normal_global_25_2.png,mask_local_25_2.png,mask_global_25_2.png,color_local_25_3.png,color_global_25_3.png,depth_local_25_3.png,depth_global_25_3.png,normal_local_25_3.png,normal_global_25_3.png,mask_local_25_3.png,mask_global_25_3.png
color_local_26_1.png,color_global_26_1.png,depth_local_26_1.png,depth_global_26_1.png,normal_local_26_1.png,normal_global_26_1.png,mask_local_26_1.png,mask_global_26_1.png,color_local_26_2.png,color_global_26_2.png,depth_local_26_2.png,depth_global_26_2.png,normal_local_26_2.png,normal_global_26_2.png,mask_local_26_2.png,mask_global_26_2.png,color_local_26_3.png,color_global_26_3.png,depth_local_26_3.png,depth_global_26_3.png,normal_local_26_3.png,normal_global_26_3.png,mask_local_26_3.png,mask_global_26_3.png
color_local_27_1.png,color_global_27_1.png,depth_local_27_1.png,depth_global_27_1.png,normal_local_27_1.png,normal_global_27_1.png,mask_local_27_1.png,mask_global_27_1.png,color_local_27_2.png,color_global_27_2.png,depth_local_27_2.png,depth_global_27_2.png,normal_local_27_2.png,normal_global_27_2.png,mask_local_27_2.png,mask_global_27_2.png,color_local_27_3.png,color_global_27_3.png,depth_local_27_3.png,depth_global_27_3.png,normal_local_27_3.png,normal_global_27_3.png,mask_local_27_3.png,mask_global_27_3.png
color_local_28_1.png,color_global_28_1.png,depth_local_28_1.png,depth_global_28_1.png,normal_local_28_1.png,normal_global_28_1.png,mask_local_28_1.png,mask_global_28_1.png,color_local_28_2.png,color_global_28_2.png,depth_local_28_2.png,depth_global_28_2.png,normal_local_28_2.png,normal_global_28_2.png,mask_local_28_2.png,mask_global_28_2.png,color_local_28_3.png,color_global_28_3.png,depth_local_28_3.png,depth_global_28_3.png,normal_local_28_3.png,normal_global_28_3.png,mask_local_28_3.png,mask_global_28_3.png
color_local_29_1.png,color_global_29_1.png,depth_local_29_1.png,depth_global_29_1.png,normal_local_29_1.png,normal_global_29_1.png,mask_local_29_1.png,mask_global_29_1.png,color_local_29_2.png,color_global_29_2.png,depth_local_29_2.png,depth_global_29_2.png,normal_local_29_2.png,normal_global_29_2.png,mask_local_29_2.png,mask_global_29_2.png,color_local_29_3.png,color_global_29_3.png,depth_local_29_3.png,depth_global_29_3.png,normal_local_29_3.png,normal_global_29_3.png,mask_local_29_3.png,mask_global_29_3.png
color_local_30_1.png,color_global_30_1.png,depth_local_30_1.png,depth_global_30_1.png,normal_local_30_1.png,normal_global_30_1.png,mask_local_30_1.png,mask_global_30_1.png,color_local_30_2.png,color_global_30_2.png,depth_local_30_2.png,depth_global_30_2.png,normal_local_30_2.png,normal_global_30_2.png,mask_local_30_2.png,mask_global_30_2.png,color_local_30_3.png,color_global_30_3.png,depth_local_30_3.png,depth_global_30_3.png,normal_local_30_3.png,normal_global_30_3.png,mask_local_30_3.png,mask_global_30_3.png
color_local_31_1.png,color_global_31_1.png,depth_local_31_1.png,depth_global_31_1.png,normal_local_31_1.png,normal_global_31_1.png,mask_local_31_1.png,mask_global_31_1.png,color_local_31_2.png,color_global_31_2.png,depth_local_31_2.png,depth_global_31_2.png,normal_local_31_2.png,normal_global_31_2.png,mask_local_31_2.png,mask_global_31_2.png,color_local_31_3.png,color_global_31_3.png,depth_local_31_3.png,depth_global_31_3.png,normal_local_31_3.png,normal_global_31_3.png,mask_local_31_3.png,mask_global_31_3.png
color_local_32_1.png,color_global_32_1.png,depth_local_32_1.png,depth_global_32_1.png,normal_local_32_1.png,normal_global_32_1.png,mask_local_32_1.png,mask_global_32_1.png,color_local_32_2.png,color_global_32_2.png,depth_local_32_2.png,depth_global_32_2.png,normal_local_32_2.png,normal_global_32_2.png,mask_local_32_2.png,mask_global_32_2.png,color_local_32_3.png,color_global_32_3.png,depth_local_32_3.png,depth_global_32_3.png,normal_local_32_3.png,normal_global_32_3.png,mask_local_32_3.png,mask_global_32_3.png
